IdAluno,Sexo,Idade,DataNascimento,CorRaca,StatusResponsavel,AnoConclusao,ResultadoFinal
3,F,19,2005-03-29 03:00:00,R,Apenas mae cadastrada,2021.0,A
4,F,19,2004-11-04 02:00:00,B,Apenas pai cadastrado,2021.0,A
5,F,22,2002-01-25 02:00:00,B,Nenhum cadastrado,,
6,M,21,2002-10-07 03:00:00,R,Apenas mae cadastrada,,
7,M,21,2002-12-23 02:00:00,R,Apenas mae cadastrada,,
8,F,22,2002-03-02 03:00:00,B,Apenas mae cadastrada,2021.0,A
9,M,23,2001-03-18 03:00:00,B,Apenas mae cadastrada,,
10,F,22,2002-01-16 02:00:00,R,Apenas mae cadastrada,,
11,M,22,2002-06-25 03:00:00,P,Apenas mae cadastrada,,
12,F,19,2004-12-24 02:00:00,B,Apenas mae cadastrada,2021.0,A
13,M,22,2002-06-18 03:00:00,R,Apenas mae cadastrada,,
14,M,23,2001-08-08 03:00:00,B,Apenas mae cadastrada,,
15,F,19,2004-09-05 03:00:00,B,Apenas mae cadastrada,2021.0,A
16,F,21,2002-11-01 03:00:00,B,Apenas mae cadastrada,,
17,F,19,2005-04-29 00:00:00,B,Apenas mae cadastrada,2021.0,A
18,F,22,2002-02-03 02:00:00,R,Apenas mae cadastrada,,
19,M,23,2001-03-30 03:00:00,B,Apenas mae cadastrada,,
20,M,21,2002-09-01 03:00:00,B,Apenas mae cadastrada,,
21,M,19,2004-11-20 02:00:00,R,Apenas mae cadastrada,2021.0,A
22,F,21,2002-10-16 03:00:00,R,Apenas mae cadastrada,,
23,M,19,2004-10-24 03:00:00,R,Apenas mae cadastrada,,
24,F,19,2004-11-23 02:00:00,R,Apenas mae cadastrada,2021.0,A
25,F,20,2003-10-03 00:00:00,P,Apenas mae cadastrada,2021.0,A
26,F,19,2005-05-17 03:00:00,B,Apenas mae cadastrada,2021.0,A
27,M,19,2005-01-10 02:00:00,R,Apenas mae cadastrada,2021.0,A
28,F,19,2005-01-12 02:00:00,R,Apenas mae cadastrada,2021.0,A
29,M,19,2004-09-11 03:00:00,R,Apenas mae cadastrada,2021.0,A
30,F,20,2004-08-17 03:00:00,R,Apenas pai cadastrado,2021.0,A
31,F,19,2005-01-19 02:00:00,R,Apenas mae cadastrada,2021.0,A
32,F,19,2005-06-08 03:00:00,B,Apenas mae cadastrada,2021.0,A
33,F,20,2003-10-11 03:00:00,R,Apenas mae cadastrada,,
34,F,21,2002-12-03 02:00:00,B,Apenas mae cadastrada,,
35,M,22,2002-01-26 02:00:00,P,Apenas mae cadastrada,,
36,F,19,2004-09-22 03:00:00,R,Apenas mae cadastrada,,
37,F,20,2004-05-03 03:00:00,B,Apenas pai cadastrado,,
38,F,20,2004-06-07 03:00:00,R,Apenas mae cadastrada,,
39,M,20,2004-05-17 00:00:00,R,Apenas mae cadastrada,,
40,F,20,2004-02-02 00:00:00,B,Apenas mae cadastrada,,
41,F,20,2004-04-06 03:00:00,P,Apenas mae cadastrada,,
42,M,25,1998-12-24 02:00:00,B,Apenas pai cadastrado,,
43,M,19,2004-11-30 02:00:00,R,Apenas mae cadastrada,,
44,M,21,2002-09-09 00:00:00,B,Apenas mae cadastrada,,
45,F,23,2001-07-30 03:00:00,R,Apenas mae cadastrada,2021.0,C
45,F,23,2001-07-30 03:00:00,R,Apenas mae cadastrada,2022.0,A
46,M,22,2002-04-18 00:00:00,R,Apenas mae cadastrada,,
47,M,22,2001-09-26 03:00:00,B,Apenas mae cadastrada,,
48,F,22,2002-05-27 03:00:00,R,Apenas mae cadastrada,,
49,M,21,2002-12-14 02:00:00,B,Apenas mae cadastrada,,
50,F,24,2000-06-28 03:00:00,R,Apenas mae cadastrada,,
51,F,22,2002-05-14 03:00:00,B,Apenas mae cadastrada,,
52,M,21,2003-03-16 03:00:00,R,Apenas mae cadastrada,,
